探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
12,1.69,13364307,7931339.47,152821,419917,85948,5270,932,3144634,-12.55,D1
12,1.31,10234396,7782810.65,99414,441003,97266,5842,1084,3350285,12.83,F4

E6D6C4F6E7C3G6F8B2E3C6A1F3G5C2C5D3F2F1H6E2D2E8E1H4G2G3G4B6A7F5B5H1D7A6D1D8A5H7B7A8B3B1B8C8H2F4G7A4C7
8,0.00,6998,6998000.00,425,1241,322,5,0,2487,12.08,F7
8,0.00,2721,inf,210,704,175,6,0,908,-7.73,H8
10,0.00,9213,4606500.00,749,3373,871,74,0,2528,7.73,H5
9,0.00,2469,inf,833,955,83,34,0,10,-8.00,B4
10,0.00,7312,7312000.00,2565,2839,300,77,0,21,8.00,H5
9,0.00,2469,inf,833,955,83,34,0,10,-8.00,B4

E6F4D3C6D6F6F3D2G4E3C4B5B7H4H5F2G6E7H3H6F8D7C7D8H7B6E2B8F5G2C2E1A8D1A6A5B3B4C8A7H1G5F1G1C5B1B2A4A2G7
8,0.00,4544,4544000.00,418,879,217,13,0,1403,11.62,A3
8,0.00,2849,inf,178,761,112,23,0,962,-9.73,C3
10,0.00,6780,6780000.00,499,2482,554,118,0,1904,11.72,A3
9,0.00,3154,inf,1023,1236,68,75,0,20,-12.00,C1
10,0.00,5921,5921000.00,1992,2347,212,138,0,51,12.00,A3
9,0.00,3154,inf,1023,1236,68,75,0,20,-12.00,C1

C4C5E6E3C6B6D3D6A7B4F2F5G4A6A5F3A4C2B1C3B7F7D7B8G2E7E8C7B3C1G7E2D2F8D1F6B5E1G8D8G6G3C8H6F4A3A2A1H3H4
8,0.00,2108,inf,183,470,100,16,0,695,-2.17,A8
8,0.00,2610,inf,180,699,104,25,0,903,4.15,B2
10,0.00,2686,inf,199,1023,163,64,0,834,-3.90,A8
9,0.00,2637,inf,849,1004,59,61,0,32,4.00,H1
10,0.00,3128,inf,1053,1235,76,81,0,62,-4.00,A8
9,0.00,2637,inf,849,1004,59,61,0,32,4.00,H1

F5F4C3C4C5D6F3G4H5G5E6G2D7E7F6B5A5H6H7H4D3C7E8D8F7B4E2G7C6D2D1E1B7B6A3G3H3A4C8B8H1F8E3F1G1A2B2C1G6A6
8,0.00,4118,inf,558,762,68,9,0,952,28.70,B3
8,0.00,1779,inf,38,497,49,15,0,673,-28.41,H2
10,0.00,7945,7945000.00,719,2861,393,109,0,2332,28.55,A8
9,0.00,2238,inf,675,741,96,25,0,20,-28.00,A7
