探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
C4E3F6C6C5E6F4F3C7G7F5C3D3B5B2A1A6C8C2A4B7G4A5D6D7A7A2B8G2C1
8,0.04,215261,5817864.86,850,4854,1350,20,0,46640,-7.42,E7
8,0.04,250405,6767702.70,1140,6978,2503,23,3,74903,8.50,F2
10,0.30,1732371,5793882.94,2740,48198,10899,114,17,411804,-10.33,E7
10,0.32,1854514,5813523.51,3083,66888,22459,155,32,611968,11.99,F2
12,1.88,10444187,5555418.62,28085,358086,76453,3909,696,2633928,-11.21,F2
12,1.34,7161161,5344150.00,3052,276614,38129,2429,284,2094809,13.74,A8

D3C5D6E7B6D2E3B4C6A6D1F2E6F5F4F6D7C3C4F3A5E8E2A4G2C2B2C7G4A1
8,0.12,713945,5852008.20,4737,12479,5640,38,1,178820,-11.40,B3
8,0.06,372273,5909095.24,1015,6775,1057,22,0,81056,11.80,B1
10,0.86,4944749,5729720.74,12333,110001,39535,439,80,1291853,-10.03,B3
10,0.39,2161158,5555676.09,4657,54755,9599,156,11,576981,9.46,B1
12,6.40,34827729,5438433.64,47950,922886,253661,25364,5651,9199913,-7.41,B3
12,2.41,13177289,5476844.97,13268,445212,71314,6020,631,4012242,8.96,B1

C4C5B6C3C2B4A3B5F6A7A5C1B3B2D2G7C7A4A2D1E6B1A6E3D3F5G6B7F2H7
8,0.03,183702,5925870.97,834,3308,1323,36,0,32780,33.13,A1
8,0.03,162227,6239500.00,1656,5530,2297,45,0,66616,-32.92,E2
10,0.22,1270081,5826059.63,1795,26745,7921,56,4,230416,38.15,A1
10,0.29,1697277,5812592.47,4640,76705,22485,271,59,765531,-38.06,E2
12,1.86,10399537,5588144.55,12887,245224,56454,1945,334,1956882,39.70,A1
12,2.20,12458899,5668288.90,29982,657269,111850,13007,2029,5773306,-39.88,E2

C4C3D3C5B5A5B2A1C6E2D2F4C2B1G4D7A6F5F1G3F6G5E3F3E8B4H2A7B3G7
8,0.08,455758,5843051.28,1594,7664,1281,24,0,109384,-8.99,F2
8,0.05,285711,5830836.73,359,4509,502,17,0,53954,14.39,C1
10,0.38,2346369,6110335.94,1653,56989,6174,132,6,626652,-11.04,F2
